experiment_name                 , algorithm, timestamp          , total_timesteps_or_episodes, n_envs, mean_reward, std_reward, mean_crops_treated, mean_episode_length, best_reward, treatment_accuracy_pct, wall_time_minutes, hyperparameters
a2c_01_baseline                 , a2c      , 2026-04-01 16:47:44,                     2000000,      8, 16.15      ,      22.05,                1.8,               100.0, 60.40      ,                   14.6,              18.9, learning_rate=0.0007; n_steps=256; gamma=0.99; gae_lambda=0.95; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5; normalize_advantage=True
a2c_02_lr_low                   , a2c      , 2026-04-01 17:07:03,                     2000000,      8, 21.42      ,      22.13,                2.6,               100.0, 51.70      ,                   21.7,              19.3, learning_rate=0.0003; n_steps=256; gamma=0.99; gae_lambda=0.95; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5; normalize_advantage=True
a2c_03_lr_high                  , a2c      , 2026-04-01 17:24:24,                     2000000,      8, 15.73      ,      16.25,                1.8,               100.0, 53.70      ,                   14.6,              17.4, learning_rate=0.001; n_steps=256; gamma=0.99; gae_lambda=0.95; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5; normalize_advantage=True
a2c_04_high_entropy             , a2c      , 2026-04-01 17:40:45,                     2000000,      8, 28.26      ,      12.24,                2.5,               100.0, 54.10      ,                   20.4,              16.3, learning_rate=0.0007; n_steps=256; gamma=0.99; gae_lambda=0.95; ent_coef=0.1; vf_coef=0.5; max_grad_norm=0.5; normalize_advantage=True
a2c_05_low_entropy              , a2c      , 2026-04-01 18:08:06,                     3000000,      8, 19.09      ,      18.33,                1.9,               100.0, 49.40      ,                   16.2,              27.4, learning_rate=0.0005; n_steps=256; gamma=0.99; gae_lambda=0.95; ent_coef=0.02; vf_coef=0.5; max_grad_norm=0.5; normalize_advantage=True
a2c_06_short_rollout_16env      , a2c      , 2026-04-01 18:22:19,                     2000000,     16, 24.00      ,      13.74,                3.0,               100.0, 47.20      ,                   24.6,              14.2, learning_rate=0.0005; n_steps=128; gamma=0.99; gae_lambda=0.95; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5; normalize_advantage=True
a2c_07_big_network              , a2c      , 2026-04-01 18:42:39,                     2000000,      8, 15.33      ,      18.96,                1.8,               100.0, 45.70      ,                   15.0,              20.3, "learning_rate=0.0005; n_steps=256; gamma=0.99; gae_lambda=0.95; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5; normalize_advantage=True; policy_kwargs={'net_arch': {'pi': [512, 256], 'vf': [512, 256]}, 'optimizer_class': <class 'torch.optim.rmsprop.RMSprop'>, 'optimizer_kwargs': {'alpha': 0.99, 'eps': 1e-05, 'weight_decay': 0}}"
a2c_08_aggressive               , a2c      , 2026-04-01 19:25:33,                     5000000,     16, 22.38      ,      17.99,                2.8,               100.0, 60.50      ,                   22.9,              42.9, "learning_rate=0.0005; n_steps=128; gamma=0.995; gae_lambda=0.98; ent_coef=0.03; vf_coef=0.5; max_grad_norm=0.5; normalize_advantage=True; policy_kwargs={'net_arch': {'pi': [256, 256], 'vf': [256, 256]}, 'optimizer_class': <class 'torch.optim.rmsprop.RMSprop'>, 'optimizer_kwargs': {'alpha': 0.99, 'eps': 1e-05, 'weight_decay': 0}}"
ppo_01_baseline                 , ppo      , 2026-04-02 16:23:58,                     2000000,      8, 45.13      ,      27.84,                3.8,               100.0, 99.60      ,                   31.7,              27.8, learning_rate=0.00025; n_steps=512; batch_size=128; n_epochs=10; gamma=0.99; gae_lambda=0.95; clip_range=0.2; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5
ppo_02_lr_high                  , ppo      , 2026-04-02 17:03:06,                     2000000,      8, 62.03      ,      22.89,                5.0,               100.0, 123.60     ,                   41.7,              39.1, learning_rate=0.0005; n_steps=512; batch_size=128; n_epochs=10; gamma=0.99; gae_lambda=0.95; clip_range=0.2; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5
ppo_03_lr_low_long              , ppo      , 2026-04-02 18:04:44,                     3000000,      8, 37.96      ,      23.33,                3.4,               100.0, 82.90      ,                   27.9,              61.6, learning_rate=0.0001; n_steps=512; batch_size=128; n_epochs=10; gamma=0.99; gae_lambda=0.95; clip_range=0.2; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5
ppo_04_high_entropy             , ppo      , 2026-04-02 18:47:06,                     2000000,      8, 41.73      ,      17.99,                3.5,               100.0, 76.00      ,                   29.2,              42.4, learning_rate=0.0003; n_steps=512; batch_size=128; n_epochs=10; gamma=0.99; gae_lambda=0.95; clip_range=0.2; ent_coef=0.1; vf_coef=0.5; max_grad_norm=0.5
ppo_05_low_entropy_exploit      , ppo      , 2026-04-02 19:34:27,                     3000000,      8, 59.70      ,      25.90,                4.6,               100.0, 117.70     ,                   38.3,              47.3, learning_rate=0.0003; n_steps=512; batch_size=128; n_epochs=5; gamma=0.99; gae_lambda=0.95; clip_range=0.15; ent_coef=0.02; vf_coef=0.5; max_grad_norm=0.5
ppo_06_big_network              , ppo      , 2026-04-02 20:26:45,                     2000000,      8, 51.03      ,      21.21,                4.2,               100.0, 98.60      ,                   35.4,              52.3, "learning_rate=0.00025; n_steps=512; batch_size=128; n_epochs=10; gamma=0.99; gae_lambda=0.95; clip_range=0.2; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5; policy_kwargs={'net_arch': {'pi': [512, 256], 'vf': [512, 256]}}"
ppo_07_short_rollout_16env      , ppo      , 2026-04-02 21:01:32,                     2000000,     16, 31.02      ,      14.80,                3.0,               100.0, 72.30      ,                   25.4,              34.8, learning_rate=0.0003; n_steps=256; batch_size=64; n_epochs=5; gamma=0.99; gae_lambda=0.95; clip_range=0.2; ent_coef=0.05; vf_coef=0.5; max_grad_norm=0.5
ppo_08_aggressive               , ppo      , 2026-04-02 22:48:58,                     5000000,     16, 47.92      ,      14.59,                4.0,               100.0, 68.10      ,                   32.9,             107.4, "learning_rate=0.0003; n_steps=256; batch_size=64; n_epochs=5; gamma=0.995; gae_lambda=0.98; clip_range=0.15; ent_coef=0.03; vf_coef=0.5; max_grad_norm=0.5; policy_kwargs={'net_arch': {'pi': [256, 256], 'vf': [256, 256]}}"
reinforce_01_baseline           , reinforce, 2026-04-03 20:33:52,                       15000,      1, 43.74      ,      29.57,                5.2,               100.0, 117.20     ,                   43.8,              65.7, learning_rate=0.0005; gamma=0.99; hidden_size=256; entropy_coef=0.05; max_grad_norm=0.5
reinforce_02_lr_low_long        , reinforce, 2026-04-03 22:48:54,                       30000,      1, 49.48      ,      24.29,                5.7,               100.0, 95.50      ,                   47.1,             135.0, learning_rate=0.0002; gamma=0.99; hidden_size=256; entropy_coef=0.05; max_grad_norm=0.5
reinforce_03_lr_high            , reinforce, 2026-04-03 23:30:21,                       15000,      1, 44.95      ,      22.10,                4.8,               100.0, 94.20      ,                   39.6,              41.4, learning_rate=0.001; gamma=0.99; hidden_size=256; entropy_coef=0.05; max_grad_norm=0.5
reinforce_04_high_entropy       , reinforce, 2026-04-03 00:35:53,                       20000,      1, 57.07      ,      24.46,                5.7,               100.0, 110.20     ,                   47.1,              65.5, learning_rate=0.0005; gamma=0.99; hidden_size=256; entropy_coef=0.1; max_grad_norm=0.5
reinforce_05_low_entropy_exploit, reinforce, 2026-04-03 01:51:37,                       30000,      1, 47.97      ,      21.02,                4.8,               100.0, 87.70      ,                   40.0,              75.7, learning_rate=0.0003; gamma=0.99; hidden_size=256; entropy_coef=0.02; max_grad_norm=0.5
